rank,Stadium,Capacity,City,Country,Home Team(s),location
145,Jiaodaruisun Stadium,51000,Xi'an, China,some Shaanxi Guoli and Xi'an Anxinyuan matches,"[34.261004, 108.9423363]"
146,Estádio do Dragão,51000,Porto, Portugal,F.C. Porto,"[41.16182355, -8.5837491985]"
147,Estádio José Alvalade,50466,Lisbon, Portugal,Sporting Clube de Portugal,"[38.7612164, -9.1607831347]"
148,RheinEnergieStadion,50374,Cologne, Germany,1. FC Köln,"[50.9335055, 6.8751167403]"
149,Incheon Munhak Stadium,50256,Incheon, South Korea,Incheon United,"[37.4350773, 126.6907515569]"
150,Ajinomoto Stadium,50100,Tokyo, Japan,"F.C. Tokyo, Tokyo Verdy","[35.66418645, 139.5270751782]"
151,King Baudouin Stadium,50024,Brussels, Belgium,Belgium national football team,"[50.89572205, 4.3341279219]"
152,Charles Mopeli Stadium,50000,Phuthaditjhaba, South Africa,some Free State Stars matches,"[-28.5806991, 28.8321039011]"
153,Estádio Santa Cruz,50000,Ribeirão Preto, Brazil,Botafogo Futebol Clube (SP),"[-21.20239205, -47.7901413147]"
154,Hiroshima Big Arch,50000,Hiroshima, Japan,Sanfrecce Hiroshima,"[34.3917241, 132.4517589]"
155,Jilin People's Stadium,50000,Jilin City, China,some regional teams matches,"[43.8562659, 126.5737676]"
156,Khalifa International Stadium,50000,Doha, Qatar,Qatar national football team,"[25.26365305, 51.4492244658]"
157,Lagaligo Stadium,50000,Palopo, Indonesia,Gaspa Palopo,"[-3.0065288, 120.193868]"
158,Nagai Stadium,50000,Osaka, Japan,Cerezo Osaka,"[34.61410635, 135.5185109724]"
159,Phnom Penh National Olympic Stadium,50000,Phnom Penh, Cambodia,Khemara,"[11.568271, 104.9224426]"
160,Stade 26 mars,50000,Bamako, Mali,Stade Malien,"[12.6043766, -7.9217373945]"
161,Sultan Mizan Zainal Abidin Stadium,50000,Kuala Terengganu, Malaysia,some Terengganu FA matches,"[5.36971345, 103.1056811603]"
162,AWD-Arena,49951,Hanover, Germany,Hannover 96,"[52.36002595, 9.7310160501]"
163,Ernst Happel Stadion,49844,Vienna, Austria,"Austria, some FK Austria Wien and SK Rapid Wien matches","[48.20718935, 16.4209170657]"
164,Estadio José Amalfitani,49540,Buenos Aires, Argentina,Club Atlético Vélez Sársfield,"[-34.6353382, -58.520678813]"
165,Sheikh Zayed Stadium,49500,Abu Dhabi, UAE,UAE Cup Finals,"[24.41612865, 54.4536300221]"
166,Miyagi Stadium,49133,Rifu, Japan,some Vegalta Sendai matches,"[38.3353606, 140.950456704]"
167,Stadium of Light,48707,Sunderland, England,Sunderland A.F.C.,"[54.9143953, -1.3882579326]"
168,Jinnah Sports Stadium,48700,Islamabad, Pakistan,some Pakistan matches,"[33.7004059, 73.0928603736]"
169,Fritz-Walter-Stadion,48500,Kaiserslautern, Germany,1. FC Kaiserslautern,"[49.4345765, 7.7766302916]"
170,Estadio Tomás Adolfo Ducó,48314,Buenos Aires, Argentina,Club Atlético Huracán,"[-34.64306605, -58.3967982639]"
171,Estadio Malvinas Argentinas,48000,Mendoza, Argentina,Godoy Cruz Antonio Tomba,"[-32.8896213, -68.8799004653]"
172,City of Manchester Stadium,48000,Manchester, England,Manchester City F.C.,"[53.48309105, -2.2002520023]"
173,Frankenstadion,47559,Nuremberg, Germany,1. FC Nuremberg,"[49.4307502, 11.1294421]"
174,Stadio Artemio Franchi,47282,Florence, Italy,Fiorentina,"[43.32168675, 11.3261789672]"
175,Silesia Stadium,47246,Chorzów, Poland,Poland national football team,"[50.28824565, 18.9734993195]"
176,Parc des Princes,46480,Paris, France,Paris Saint-Germain,"[48.8413634, 2.2530693162]"
177,Estadio Olímpico Chateau Carreras,46083,Córdoba, Argentina,"Talleres de Córdoba, some Belgrano de Córdoba matches","[-31.4166867, -64.1834193]"
178,Estadio El Campín,46018,Bogotá, Colombia,"Millonarios, Independiente Santa Fe","[4.64594945, -74.077605394]"
179,Estadio Monumental David Arellano,45953,Santiago, Chile,Colo-Colo,"[-33.5064746, -70.6049201583]"
180,Rice-Eccles Stadium,45634,Salt Lake City, USA,Real Salt Lake,"[40.75985365, -111.8489194926]"
181,Estadio Olímpico Pascual Guerrero,45625,Santiago de Cali, Colombia,"Deportivo Cali, América de Cali","[3.429911, -76.5411197744]"
182,Estadio Nacional de Lima,45574,Lima, Peru,Peru national football team,"[-12.0673803, -77.0337830272]"
183,Anfield,45522,Liverpool, England,Liverpool F.C.,"[53.430828, -2.9608432174]"
184,Estádio Ilha do Retiro,45500,Recife, Brazil,Sport Club do Recife,"[-8.0584933, -34.8848193]"
185,Estadio Ramón Sánchez Pizjuán,45500,Seville, Spain,Sevilla F.C.,"[37.3840876, -5.9706309025]"
186,Sydney Football Stadium,45500,Sydney, Australia,Sydney F.C.,"[-33.88915715, 151.22513522]"
187,Eden Park,45472,Auckland, New Zealand,no current user,"[-36.8750352, 174.7440567127]"
188,Estádio Mané Garrincha,45200,Brasília, Brazil,some Sociedade Esportiva do Gama matches,"[-15.7837498, -47.8990287459]"
189,Mangueirão,45007,Belém, Brazil,some Paysandu Sport Club and Clube do Remo matches,"[-1.3811539, -48.4430763088]"
190,Abbasiyyin Stadium,45000,Damascus, Syria,"Al-Jaish, Al-Wahda, Al Majd","[33.5130695, 36.3095814]"
191,Engenhão,45000,Rio de Janeiro, Brazil,Botafogo,"[-22.893194, -43.2935690869]"
192,Estádio da Machava,45000,Maputo, Mozambique,Mozambique national football team,"[-25.9174099, 32.5263788473]"
193,Estádio do Café,45000,Londrina, Brazil,some Londrina Esporte Clube and Sociedade Esportiva Matsubara matches,"[-23.28257765, -51.1646090873]"
194,Fez Stadium,45000,Fes, Morocco,Maghreb Fez,"[34.0346534, -5.0161926]"
195,Naghsh-e-Jahan Stadium,45000,Isfahan, Iran,Sepahan,"[32.74245575, 51.6861810122]"
196,Pinheirão,45000,Curitiba, Brazil,some Paraná Clube matches,"[-6.2630571, -36.5160372646]"
197,Stade Chahid Hamlaoui,45000,Constantine, Algeria,CS Constantine,"[36.3641642, 6.6084281]"
198,Stade El Menzah,45000,Tunis, Tunisia,"Club Africain, Espérance","[36.83984285, 10.185175661]"
199,Toyota Stadium,45000,Toyota City, Japan,some Nagoya Grampus matches,"[35.0845879, 137.1708735346]"
200,Verdão,45000,Cuiabá, Brazil,"Clube Esportivo Dom Bosco, Mixto Esporte Clube","[-17.3371817, -51.029284]"
201,Munsu Cup Stadium,44466,Ulsan, South Korea,Ulsan Hyundai Horang-i,"[35.5330059, 129.2585538997]"
202,Zentralstadion,44345,Leipzig, Germany,FC Sachsen Leipzig,"[51.34570785, 12.348236087]"
203,Estadio Cuscatlán,44313,San Salvador, El Salvador,"Alianza F.C., San Salvador F.C.","[13.6811225, -89.2223314486]"
204,Gwangju World Cup Stadium,44118,Gwangju, South Korea,Gwangju Sangmu Phoenix,"[35.133695, 126.8749872074]"
205,Shandong Stadium,43700,Jinan, China,Shandong Luneng,"[36.64647655, 117.0057846225]"
206,Vasil Levski National Stadium,43632,Sofia, Bulgaria,Bulgaria,"[42.6875707, 23.3352430586]"
207,Estadio Pedro Bidegain,43494,Buenos Aires, Argentina,Club Atlético San Lorenzo de Almagro,"[-34.6520812, -58.4400446644]"
208,Jeonju World Cup Stadium,43348,Jeonju, South Korea,Jeonbuk Hyundai Motors,"[35.8678074, 127.0645890698]"
209,Suwon World Cup Stadium,43288,Suwon, South Korea,Suwon Samsung Bluewings,"[37.2864084, 127.0368050204]"
210,Ōita Stadium,43254,Ōita, Japan,Oita Trinita,"[33.2007159, 131.6574920036]"
211,Stade Gerland,43051,Lyon, France,Olympique Lyonnais,"[45.72377615, 4.8322541709]"
212,Estadio Universidad San Marcos,43000,Lima, Peru,Universidad San Marcos,"[-12.0621065, -77.0365256]"
213,Nya Ullevi Stadium,43000,Gothenburg, Sweden,"IFK Göteborg, GAIS, and some Örgryte IS and BK Häcken matches","[57.7072326, 11.9670171]"
214,Vivaldão,43000,Manaus, Brazil,"América Futebol Clube (AM), Nacional Futebol Clube, Atlético Rio Negro Clube","[-3.1316333, -59.9825041]"
215,Sapporo Dome,42831,Sapporo, Japan,some Consadole Sapporo matches,"[43.0147798, 141.4097434427]"
216,Estadio Cuauhtémoc,42648,Puebla, Mexico,Puebla F.C.,"[19.07798325, -98.1643375101]"
217,Villa Park,42573,Birmingham, England,Aston Villa F.C.,"[52.5091264, -1.8850354312]"
218,St. Jakob Park,42500,Basel, Switzerland,FC Basel,"[47.54163625, 7.6201163733]"
219,Weserstadion,42358,Bremen, Germany,SV Werder Bremen,"[53.06644785, 8.8376718151]"
220,Parken Stadium,42305,Copenhagen, Denmark,"Denmark, F.C. Copenhagen","[55.70270425, 12.5722637769]"
221,Niigata Stadium,42300,Niigata, Japan,Albirex Niigata,"[37.9483599, 139.1883607424]"
222,Jeju World Cup Stadium,42256,Seogwipo, South Korea,Jeju United FC,"[33.2462695, 126.5091071323]"
223,Estadio Garcilaso de la Vega,42056,Cusco, Peru,Cienciano del Cuzco,"[-13.5255188, -71.9664760884]"
224,Stamford Bridge,42055,London, England,Chelsea F.C.,"[51.4816865, -0.1910351767]"
225,Estadio General Santander,42000,Cucuta, Colombia,Cucuta Deportivo,"[7.89466265, -72.5018525203]"
226,Stadium Perak,42000,Perak, Malaysia,Perak FA,"[4.6094268, 101.1035452187]"
227,Estadio Palogrande,42000,Manizales, Colombia,Once Caldas,"[5.0570052, -75.490087147]"
228,Estadio Hernando Siles,42000,La Paz, Bolivia,"La Paz F.C., some Club Bolívar and The Strongest matches","[-16.4994503, -68.122853236]"
229,Stadio Flaminio,42000,Rome, Italy,no current user,"[41.9269333, 12.472308214]"
230,Estadio Gigante de Arroyito,41654,Rosario, Argentina,Rosario Central,"[-32.91402295, -60.6744989877]"
231,Stadio Friuli,41652,Udine, Italy,Udinese Calcio,"[46.08140625, 13.1997082441]"
232,Polideportivo Cachamay,41600,Ciudad Guayana, Venezuela,"Atlético Club Mineros de Guayana, Minervén Fútbol Club","[8.31276745, -62.6957787576]"
233,Ramat Gan Stadium,41580,Ramat Gan, Israel,"Israel national football team, some Maccabi Tel Aviv F.C. matches","[32.10032565, 34.8243765511]"
234,Estadio Morelos,41500,Morelia, Mexico,Monarcas Morelia,"[19.7187172, -101.233597778]"
235,Südweststadion,41383,Ludwigshafen am Rhein, Germany,FSV Oggersheim,"[49.4704113, 8.4381568]"
236,Goyang Stadium,41311,Goyang, South Korea,Kookmin Bank FC,"[37.6764849, 126.743153794]"
237,Daejeon World Cup Stadium,41295,Daejeon, South Korea,Daejeon Citizen,"[36.36525335, 127.3251074229]"
238,Stade Félix Bollaert,41233,Lens, France,R.C. Lens,"[50.43281, 2.8149878385]"
239,Dinamo Stadium,41040,Minsk, Belarus,F. C. Dinamo Minsk,"[53.89512565, 27.5600491392]"
240,Estadio Olímpico Atahualpa,41000,Quito, Ecuador,"Sociedad Deportivo Quito, Club Deportivo El Nacional","[-0.17751415, -78.4766125678]"
241,Estadio Universitario,41000,San Nicolás de los Garza, Mexico,Club Deportivo U.A.N.L.,"[25.72260665, -100.3119862931]"
242,Goodison Park,40394,Liverpool, England,Everton F.C.,"[53.43868975, -2.9664192835]"
243,Estadio Lanús,40320,Lanús, Argentina,Club Atlético Lanús,"[-34.71765845, -58.3839561641]"
244,Estadio Metropolitano de Fútbol de Lara,40312,Barquisimeto, Venezuela,Unión Lara,"[10.0774374, -69.3222293]"
245,Elland Road,40242,Leeds, England,Leeds United A.F.C.,"[53.7783094, -1.5680727]"
